Comment,Designator,Footprint,LCSC
Conn_01x03,J2,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,C144394
Conn_01x04,"J3,J5,J6",JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,C144395
4k7,"R1,R2,R3,R4",R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C23162
AS5600,U4,SOIC-8_3.9x4.9mm_P1.27mm,C499458
Conn_01x04,"J1,J4",Wago_734-134_1x04_P3.50mm_Vertical,C557656
2N7002,"Q1,Q2",SOT-23,C8545
MountingHole,H6,MountingHole_3.2mm_M3_ISO7380,
MountingHole,H5,MountingHole_3.2mm_M3_ISO7380,
MountingHole,H4,MountingHole_3.2mm_M3_ISO7380,
MountingHole,H3,MountingHole_3.2mm_M3_ISO7380,
MountingHole,H2,MountingHole_3.2mm_M3_ISO7380,
MountingHole,H1,MountingHole_3.2mm_M3_ISO7380,
TestPoint,TP3,TestPoint_THTPad_2.0x2.0mm_Drill1.0mm,
MP1584,U3,MP1584_MOD,
Housing,N1,Mousebite,
Housing,N4,Mousebite,
TestPoint,TP1,TestPoint_THTPad_2.0x2.0mm_Drill1.0mm,
~,U2,TMC5160-BOB,
Housing,N2,Mousebite,
Pico,U1,RPi_Pico_SMD_TH,
Housing,N3,Mousebite,
TestPoint,TP2,TestPoint_THTPad_2.0x2.0mm_Drill1.0mm,
